customerid,creditscore,balance,numofproducts,hascrcard,isactivemember
15762418,750,121681.82,1,1,0
15625759,729,0.0,2,1,0
15622897,646,0.0,3,1,0
15767954,635,81623.67,2,1,1
15757535,647,0.0,3,1,1
15731511,808,118626.55,2,1,0
15809248,524,0.0,2,1,0
15640635,769,0.0,2,1,1
15676966,730,0.0,2,0,1
15699461,515,176273.95,1,0,1
15738721,773,102827.44,1,0,1
15693683,814,97086.4,2,1,1
15604348,710,0.0,2,0,0
15633059,413,0.0,2,0,0
15808582,665,0.0,1,1,1
15743192,623,0.0,2,0,0
15580146,738,82674.15,1,1,0
15776605,528,0.0,2,1,0
15804919,670,0.0,1,1,1
15613854,622,107073.27,2,1,1
15599195,582,88938.62,1,1,1
15812878,785,99806.85,1,0,1
15602312,605,150092.8,1,0,0
15744689,479,92833.89,1,1,0
15803526,685,90536.81,1,0,1
15665790,538,108055.1,2,1,0
15715951,562,100238.35,1,0,0
15591100,675,106190.55,1,0,1
15609618,721,154475.54,2,0,1
15675522,628,132351.29,2,1,1
15705512,668,167864.4,1,1,0
15698028,506,0.0,2,1,0
15661670,524,107818.63,1,1,0
15600781,699,185173.81,2,1,0
15682472,828,129433.34,2,0,0
15580203,674,120193.42,1,0,0
15690673,656,0.0,2,1,0
15760085,684,126384.42,1,1,1
15779659,625,0.0,1,0,0
15627360,432,152603.45,1,1,0
15671137,549,0.0,1,0,1
15782688,625,148507.24,1,1,0
15575492,828,0.0,2,1,0
15591607,770,101827.07,1,1,0
15740404,758,0.0,2,1,1
15718369,795,130862.43,1,1,1
15677871,687,122570.87,1,1,1
15642004,686,0.0,2,0,1
15712543,789,124828.46,2,1,1
15584518,589,144895.05,2,1,1
15802381,461,63663.93,1,0,1
15610156,637,133463.1,1,0,1
15594408,584,213146.2,1,1,0
15640905,579,129490.36,2,0,1
15698932,756,137452.09,1,1,0
15724944,663,0.0,2,1,1
15628145,682,125851.93,1,1,1
15713483,793,0.0,1,1,0
15612350,691,40915.55,1,1,0
15800703,485,113157.22,1,1,1
15705707,635,138296.94,2,1,0
15754105,650,106967.18,1,0,0
15703264,735,120681.63,1,1,0
15794413,416,0.0,2,0,1
15650237,754,0.0,2,1,0
15759618,535,0.0,1,1,0
15811589,716,0.0,2,1,0
15689044,539,127609.59,1,1,0
15709368,614,0.0,2,1,1
15679145,706,0.0,1,1,0
15655007,758,0.0,2,0,0
15623595,586,0.0,2,1,1
15589975,646,97259.25,1,0,1
15804017,631,123246.7,1,0,0
15692132,717,101060.25,1,0,1
15641122,684,0.0,2,1,0
15630910,800,108007.36,1,0,0
15680772,721,0.0,2,1,1
15658929,683,133702.89,1,1,0
15585388,660,125189.75,2,1,1
15724623,704,113034.22,1,1,0
15588537,615,109013.23,1,1,0
15574692,667,0.0,2,1,0
15611325,682,57929.81,2,0,0
15587562,484,130114.39,1,1,0
15613172,628,95826.49,2,1,0
15651022,480,129608.57,1,1,0
15586310,578,169462.09,1,1,0
15625524,512,0.0,2,1,1
15755209,484,133868.21,1,1,1
15645248,510,0.0,2,1,1
15790355,606,190479.48,2,0,0
15762615,597,101993.12,1,0,1
15625426,754,161608.81,1,1,0
15716334,850,122311.21,1,1,1
15789669,510,0.0,2,1,1
15621075,778,162150.42,2,1,0
15810845,636,0.0,2,1,1
15719377,804,0.0,1,1,1
15654506,514,0.0,2,1,0
15771977,730,99010.67,1,1,0
15708710,525,0.0,1,0,1
15726676,616,0.0,2,0,1
15587421,687,111388.18,2,1,0
15726931,715,56214.85,2,0,0
15771086,512,84327.77,2,1,0
15756850,479,0.0,2,0,0
15702741,601,93012.89,1,1,0
15679200,580,61710.44,2,1,0
15594815,807,174790.15,1,1,1
15635905,616,0.0,2,1,1
15777892,721,107720.64,1,1,1
15656176,501,0.0,2,1,1
15811127,521,96423.84,1,1,0
15604482,850,141040.01,1,1,1
15622911,759,105420.18,1,0,1
15600974,516,0.0,1,0,1
15727868,711,129022.06,2,1,1
15627801,512,176666.62,1,1,0
15773039,550,0.0,1,1,1
15755262,608,89763.84,1,0,0
15679531,618,134954.53,1,1,1
15684181,643,0.0,1,1,0
15612087,671,106376.85,1,0,1
15752047,689,161814.64,2,1,0
15624592,603,0.0,2,1,1
15573152,620,0.0,2,0,0
15594917,676,63095.01,1,1,1
15785542,572,118287.01,2,0,0
15723488,668,106854.21,1,0,1
15680920,695,49512.55,1,1,0
15786308,730,0.0,2,0,0
15659366,807,105799.32,2,1,0
15774854,592,0.0,1,1,1
15725311,726,114722.05,2,1,1
15787155,514,0.0,1,0,1
15727829,567,0.0,2,1,1
15733247,850,0.0,1,1,0
15568748,671,99564.22,1,1,1
15699029,670,170557.91,2,1,0
15774393,694,0.0,2,1,1
15676895,547,74596.15,3,1,1
15637753,751,96888.39,1,1,0
15605461,594,130830.22,1,1,0
15808473,673,0.0,2,0,1
15627000,610,0.0,2,1,0
15787174,512,0.0,2,0,1
15723886,767,119714.25,2,0,1
15704769,585,113978.97,2,0,1
15772896,763,100160.75,1,1,0
15711540,712,0.0,1,1,1
15764866,539,116220.5,3,1,0
15794056,668,0.0,3,1,0
15795149,703,81173.83,2,0,1
15812009,662,0.0,2,1,0
15651001,725,116803.8,1,1,0
15813844,703,105961.68,2,0,1
15596175,659,117411.6,1,1,1
15576269,523,0.0,2,1,0
15797219,635,123497.58,1,1,0
15685500,772,152400.51,2,1,0
15599792,545,0.0,2,1,1
15657566,634,103097.85,1,1,1
15772423,739,126418.14,1,1,0
15628112,771,77846.9,1,0,0
15753754,587,0.0,2,1,1
15793726,681,0.0,2,0,1
15694717,544,79731.91,1,1,1
15665834,696,0.0,1,0,0
15765297,766,0.0,2,0,1
15636684,727,0.0,2,1,1
15592979,671,37266.67,2,0,0
15750803,693,127992.25,1,1,1
15607178,850,54901.01,1,1,1
15713853,732,108748.08,2,1,1
15673481,726,99906.19,1,1,0
15686776,557,184686.41,2,1,0
15673693,682,110654.02,1,0,1
15700696,738,79019.8,1,1,1
15813163,531,99240.51,1,1,0
15653857,498,0.0,2,1,1
15777076,651,0.0,2,1,0
15717398,549,0.0,1,0,0
15799217,791,52436.2,1,1,0
15787071,650,0.0,2,0,1
15619955,733,100337.96,3,1,0
15796505,811,149297.19,2,1,1
15725166,707,0.0,2,1,0
15800116,712,145605.44,1,0,1
15758685,706,0.0,2,1,1
15694456,756,0.0,1,1,1
15767339,777,0.0,2,1,0
15683562,646,84026.86,1,0,1
15782210,714,0.0,1,1,0
15668893,782,0.0,2,1,1
15669169,775,0.0,2,1,1
15643024,479,138718.92,1,1,1
15699389,807,118274.71,1,1,1
15708608,799,174185.98,2,0,1
15626144,675,113208.86,2,1,0
15573112,602,103907.28,1,1,0
15790678,475,119023.28,1,1,0
15727556,744,166297.89,1,1,1
15697307,588,0.0,2,1,0
15652266,703,63227.0,1,0,1
15607098,747,94521.17,2,1,0
15655774,583,0.0,2,1,0
15590241,750,112822.26,1,0,0
15785819,681,0.0,2,1,1
15723654,773,135903.33,1,1,0
15774510,714,125169.26,1,1,1
15684173,687,0.0,3,1,0
15650068,511,149117.31,1,1,1
15811490,627,0.0,2,1,1
15803976,694,0.0,2,1,0
15682541,616,132311.71,1,0,0
15695699,687,0.0,2,1,0
15624188,712,0.0,2,1,1
15812191,553,118082.89,1,0,0
15636673,667,119266.69,1,1,1
15594898,731,0.0,1,1,1
15660211,629,156847.29,2,1,0
15773972,614,137104.47,1,1,0
15746726,438,78398.69,1,1,0
15712287,652,0.0,2,1,1
15702919,729,63669.42,1,1,0
15674398,642,0.0,2,0,0
15797960,806,135296.33,1,1,0
15631868,744,153804.44,1,1,1
15581539,474,0.0,2,0,0
15662736,559,147069.78,1,1,0
15666252,706,0.0,2,1,1
15677512,628,0.0,1,1,0
15626114,429,95741.75,1,1,0
15810834,525,145965.33,1,1,1
15678910,680,141441.75,1,1,1
15694408,749,139290.41,1,1,0
15585215,763,0.0,2,0,0
15682757,734,0.0,2,1,0
15736601,716,144428.87,1,1,0
15601848,594,0.0,2,1,0
15736008,644,95441.27,1,1,0
15669064,671,144848.74,1,1,1
15624528,664,116244.14,2,1,1
15598493,656,0.0,2,0,1
15601274,667,146502.07,1,1,0
15702669,663,117028.6,2,0,1
15728669,584,112013.81,1,1,0
15742668,626,108269.37,1,1,0
15697441,485,182123.79,1,1,0
15740476,659,150923.74,2,0,1
15648064,649,0.0,2,1,0
15636624,805,165272.13,1,1,0
15807923,716,115301.31,1,1,0
15745844,642,129502.49,2,0,1
15786170,659,118342.26,1,0,0
15681081,545,0.0,2,1,1
15684484,543,0.0,2,0,0
15785869,718,0.0,2,1,0
15763859,840,0.0,2,1,0
15658935,630,106937.05,2,1,0
15747358,643,170331.37,1,1,1
15735203,654,114510.85,1,1,1
15576256,582,0.0,2,1,1
15659420,659,107594.11,2,1,1
15593365,762,81273.13,1,1,1
15777352,568,169399.6,1,1,0
15812007,670,0.0,2,1,1
15625461,613,187841.99,2,1,1
15739438,539,0.0,2,1,0
15611759,850,126776.3,2,1,1
15661629,522,126436.29,1,1,0
15633950,737,101960.74,1,1,1
15592386,520,0.0,2,0,1
15803716,706,0.0,2,0,1
15696674,643,150842.93,1,0,1
15706365,648,102535.57,1,1,1
15745088,443,99027.61,2,1,0
15676715,640,0.0,2,1,1
15613085,628,0.0,1,1,1
15633537,540,87271.41,2,1,0
15594720,460,102742.91,2,1,1
15684042,636,40105.51,2,0,1
15583303,593,152265.43,1,1,0
15611579,801,141947.67,1,1,1
15774696,640,106307.91,2,0,1
15694506,611,107884.81,2,1,1
15688074,802,125013.72,1,1,1
15759537,717,58469.37,2,1,1
15758449,769,0.0,1,0,1
15583456,745,117231.63,3,1,1
15667871,572,152390.26,1,1,0
15677371,629,34013.63,1,1,0
15629677,687,0.0,3,0,0
15713578,483,0.0,2,1,1
15591509,690,101583.11,2,1,0
15568240,492,77168.87,2,0,1
15622993,709,124695.72,2,1,0
15689294,705,105934.96,1,1,0
15720910,560,0.0,1,1,1
15721181,611,0.0,2,1,0
15776433,730,0.0,2,1,1
15748936,709,0.0,2,0,1
15717225,544,161525.96,2,1,0
15685226,712,147199.07,1,1,1
15785611,752,183102.29,1,1,1
15573456,648,127209.0,2,1,0
15684548,556,0.0,2,0,0
15620505,594,97378.54,1,1,1
15807432,645,136925.09,2,0,1
15584766,557,54503.55,1,1,1
15612187,547,155726.85,1,1,0
15762218,701,0.0,2,0,1
15646372,616,135842.41,1,1,0
15690452,605,63349.75,1,1,0
15747795,593,129499.42,1,1,1
15781589,751,0.0,2,0,1
15732674,443,70438.01,2,0,1
15642291,685,0.0,2,1,1
15692761,718,0.0,1,1,0
15578045,538,141434.04,1,0,0
15745354,611,0.0,2,1,0
15701376,668,152958.29,2,1,1
15691625,537,138306.34,1,1,0
15566594,709,0.0,2,0,0
15760431,850,0.0,2,1,1
15686302,745,124328.84,1,1,1
15801559,693,181461.48,3,1,1
15810432,795,0.0,2,1,0
15809616,626,0.0,2,0,0
15720559,487,110368.03,1,0,0
15695632,556,89588.35,1,1,1
15659843,643,0.0,2,0,0
15615624,605,0.0,2,0,0
15810418,756,115924.89,1,1,0
15716186,586,0.0,2,1,0
15674551,535,111756.5,1,1,0
15622834,678,0.0,1,1,0
15566111,596,0.0,1,1,0
15784597,648,162923.85,1,1,0
15652883,492,124576.65,2,1,0
15806964,702,80793.58,1,1,1
15576313,486,71340.09,1,1,0
15806467,568,99282.63,1,0,0
15597602,619,137946.39,1,1,1
15743040,724,127892.57,2,0,1
15705521,548,101084.36,1,1,0
15595039,545,114754.08,1,1,0
15799384,683,0.0,1,0,0
15581197,762,99286.98,1,0,1
15693737,627,79871.02,2,1,0
15624623,516,104088.59,2,0,0
15783501,800,168190.33,2,1,0
15690134,464,85679.25,1,1,1
15782735,626,0.0,1,0,0
15611088,790,0.0,2,1,0
15672145,534,121551.58,2,1,1
15732628,745,122220.19,1,1,1
15787470,553,116528.15,1,0,0
15803406,748,77780.29,1,0,1
15730460,722,0.0,1,0,0
15644572,501,125832.2,1,1,1
15694860,675,68065.8,1,0,0
15658169,778,127299.34,2,1,0
15794396,494,174937.64,1,1,0
15785798,850,0.0,2,0,1
15710825,592,110071.1,1,0,0
15668444,590,139432.37,1,1,0
15726631,758,127357.76,1,0,1
15733797,506,0.0,2,1,0
15747960,733,0.0,1,1,1
15634632,711,0.0,2,1,0
15707362,514,95556.31,1,0,1
15662976,637,0.0,1,1,1
15732778,468,111681.98,2,1,1
15718443,539,0.0,2,1,0
15670039,509,108738.71,2,1,0
15773792,662,133950.37,1,1,1
15613786,818,0.0,2,1,1
15726032,608,89968.69,1,1,0
15663252,850,0.0,2,1,1
15593782,816,130878.75,3,1,0
15633283,536,0.0,2,1,0
15749167,753,0.0,2,1,1
15759298,631,134169.62,1,1,1
15683625,703,149762.08,1,1,0
15635367,774,93844.69,1,1,0
15681705,785,0.0,2,1,0
15603156,571,0.0,2,1,0
15591986,621,141078.37,1,0,0
15798888,605,117992.59,1,1,1
15809722,611,100812.33,2,1,0
15677538,569,0.0,1,1,1
15797736,658,80262.6,1,1,1
15695585,788,156478.62,1,0,1
15744398,525,0.0,2,1,0
15750658,798,0.0,3,0,0
15578186,486,115217.99,2,1,0
15676519,615,0.0,2,1,0
15637954,730,155470.55,1,1,1
15758639,641,0.0,2,1,0
15613772,542,135096.77,1,1,1
15731744,692,0.0,2,0,1
15807709,714,180075.22,1,1,1
15714689,591,97541.24,1,1,1
15699005,710,156067.05,1,1,1
15624170,639,81550.94,2,0,1
15725679,531,0.0,1,0,0
15585865,673,170061.92,2,0,0
15804256,765,92310.54,2,1,1
15662403,622,169089.38,2,1,0
15733616,806,80613.93,1,1,1
15591995,757,121581.56,2,1,1
15677020,570,0.0,1,0,1
15727688,555,0.0,2,1,1
15715941,692,0.0,2,1,1
15714485,774,85891.55,1,1,0
15730059,638,77637.35,2,1,1
15715527,543,0.0,1,0,0
15576623,584,0.0,2,1,0
15805565,691,116927.89,1,1,0
15677307,684,137326.65,1,1,0
15773890,733,0.0,2,1,1
15598883,599,0.0,2,1,1
15568506,524,67238.98,2,1,1
15761043,632,86569.76,2,1,0
15782236,735,0.0,2,0,0
15593601,734,133598.4,1,1,1
15682048,605,136188.78,1,1,1
15746902,793,0.0,2,1,0
15752081,468,0.0,3,0,1
15781307,779,120092.52,2,1,0
15775912,698,101238.24,2,0,1
15745417,707,89685.92,1,0,1
15671256,850,211774.31,1,1,0
15653547,850,131317.48,1,1,1
15595766,527,93722.73,2,1,1
15742358,696,101160.99,1,1,1
15763274,661,120320.54,1,0,0
15786063,776,0.0,2,1,1
15600258,701,0.0,2,1,1
15573318,610,0.0,2,1,0
15653849,572,152827.99,1,1,0
15694272,673,64097.75,1,1,1
15736112,519,119035.35,2,1,1
15749851,702,135219.57,1,0,1
15663478,729,93694.42,1,1,1
15592300,543,59408.63,1,1,0
15567832,550,114354.95,1,1,0
15776780,608,0.0,1,1,0
15592846,639,128173.9,2,1,0
15739803,686,0.0,2,1,0
15794142,564,114931.35,3,0,1
15762729,745,111071.36,1,1,0
15667896,833,151226.18,2,1,1
15626578,622,0.0,2,1,1
15776223,597,64740.12,1,1,1
15705953,721,169312.13,1,1,0
15802593,504,0.0,3,0,1
15615457,842,112652.08,2,1,0
15708916,587,0.0,2,1,0
15720187,479,143964.36,2,1,0
15595440,508,122451.46,2,1,1
15600651,749,0.0,3,1,1
15750141,721,65253.07,2,1,0
15657284,674,106901.94,1,1,1
15763063,685,128509.63,1,1,0
15709324,417,0.0,2,1,0
15711309,574,129834.67,1,1,0
15775318,590,154962.99,3,0,1
15705515,587,138241.9,2,1,0
15634844,598,91536.93,1,1,0
15717046,741,0.0,2,1,1
15571816,850,0.0,1,1,1
15670080,584,105204.01,1,0,1
15800440,650,152968.73,1,0,1
15665678,607,158261.68,1,1,1
15665956,509,0.0,1,1,0
15788126,689,121021.05,1,1,1
15811773,543,0.0,2,1,1
15651674,438,0.0,1,0,0
15689614,687,137715.66,1,1,1
15795564,737,121192.22,2,1,1
15706647,761,0.0,3,1,1
15728505,601,100486.18,2,1,1
15730076,651,0.0,1,1,0
15622003,745,92566.53,2,1,0
15607312,648,0.0,2,1,1
15644753,848,110929.96,1,1,1
15653620,546,0.0,2,1,1
15761986,439,138901.61,1,1,0
15633922,755,123217.66,2,0,1
15734674,593,0.0,1,1,0
15658032,701,0.0,2,1,1
15692671,701,0.0,2,1,0
15737741,607,108431.87,2,0,1
15576352,586,0.0,2,0,1
15753719,547,72392.41,1,1,0
15803689,647,119741.77,2,0,0
15718057,760,100946.71,1,0,0
15722010,621,170491.84,1,1,0
15680998,725,0.0,1,1,1
15614782,526,0.0,1,1,0
15591047,519,157296.02,2,0,0
15788291,713,144606.22,1,1,1
15604044,700,134811.3,1,1,0
15679587,666,115897.12,1,1,1
15775153,630,82034.0,1,0,0
15603925,779,174318.13,2,0,1
15680970,611,114206.84,1,1,0
15697183,685,0.0,2,1,0
15567446,646,111574.41,1,1,1
15637476,683,162448.69,1,0,0
15714939,484,148249.54,1,0,1
15683503,601,0.0,3,0,1
15645569,762,123709.46,2,1,1
15782569,687,0.0,1,0,1
15592387,566,0.0,1,1,0
15609286,702,150525.8,1,1,1
15814035,601,0.0,1,1,1
15661249,699,0.0,2,0,1
15629117,584,0.0,2,1,0
15607170,699,0.0,2,1,1
15586585,698,111018.98,1,1,0
15686611,495,129755.99,1,0,0
15603203,650,0.0,2,1,0
15619857,605,129555.7,1,1,1
15805062,667,87202.38,1,1,1
15660271,688,146133.39,1,1,1
15745295,727,0.0,1,1,0
15719352,754,170184.99,2,1,0
15766575,612,140745.33,1,1,0
15594594,546,139070.51,1,1,1
15646161,673,0.0,2,1,1
15682585,593,114193.24,1,1,0
15603134,656,167878.5,1,0,1
15636444,535,141616.55,2,1,1
15773456,678,145747.67,2,0,1
15745307,477,129120.64,1,0,1
15604119,850,110349.82,1,0,0
15626900,427,141325.56,1,1,1
15605447,752,78653.84,1,1,0
15589030,649,0.0,2,1,1
15692463,799,142253.65,1,1,0
15712403,589,0.0,1,1,0
15811762,583,115988.86,1,1,0
15718673,839,75592.43,1,1,0
15724282,540,164113.04,2,1,1
15738181,850,67996.23,2,0,0
15633648,696,0.0,2,1,0
15603323,660,0.0,2,0,0
15583725,682,138778.15,1,0,1
15588350,744,147832.15,1,0,1
15798398,785,135438.4,1,0,0
15784844,752,116060.08,1,1,0
15580684,706,112564.62,1,1,0
15809663,583,125406.58,1,1,1
15640078,660,135134.99,1,1,0
15698786,819,133102.92,1,1,0
15569807,673,42157.08,1,1,0
15730830,752,0.0,2,1,1
15805112,578,82259.29,1,1,0
15633064,438,0.0,2,1,0
15703119,652,0.0,2,1,1
15730447,629,0.0,2,1,1
15813850,720,0.0,1,1,1
15711889,668,150461.07,1,1,0
15664610,459,133994.52,1,1,1
15751710,729,164870.81,2,1,1
15692926,498,121702.73,1,1,1
15813741,549,193858.2,1,0,1
15698474,601,131039.97,2,1,1
15568595,544,113829.45,1,1,1
15603065,751,0.0,2,1,0
15592937,632,81877.38,1,1,1
15699637,694,116326.07,1,1,1
15667215,678,0.0,2,1,1
15788659,695,0.0,2,1,1
15763218,661,0.0,2,0,1
15645772,661,0.0,2,1,1
15725511,559,127070.73,1,0,1
15575024,503,0.0,2,1,1
15640825,695,122549.64,1,1,1
15662397,640,176099.13,1,1,1
15576368,624,122388.38,2,0,0
15674991,667,0.0,2,0,1
15721024,642,0.0,1,0,0
15745621,640,118879.35,2,1,1
15642394,529,0.0,2,1,1
15754605,563,0.0,2,1,1
15607040,593,88736.44,2,1,0
15715142,739,102703.62,1,0,1
15810978,788,0.0,2,1,1
15668886,684,0.0,2,1,0
15780804,482,97318.25,1,0,1
15613880,591,128468.69,1,0,1
15775238,651,133432.59,1,0,1
15786905,749,141782.57,2,0,0
15747867,583,135125.28,1,0,0
15600337,661,178820.91,1,0,0
15801277,715,112212.14,2,1,1
15579334,769,126674.81,1,1,0
15802741,625,136294.97,1,1,0
15720649,641,66392.64,1,1,0
15589493,716,122552.34,2,1,0
15688251,767,76408.85,2,1,0
15665238,745,145071.24,1,0,0
15740900,589,0.0,2,1,1
15681068,796,109730.22,1,1,1
15748625,664,0.0,2,1,1
15727299,445,64119.38,1,1,1
15620204,543,106138.33,2,1,1
15669516,746,0.0,2,1,1
15736534,742,181656.51,1,1,1
15803457,750,0.0,2,1,0
15659098,669,95128.86,1,0,0
15603436,594,126615.94,2,0,1
15566292,574,0.0,2,0,1
15808621,659,76190.48,2,1,1
15580148,750,168286.81,3,1,0
15776231,626,88109.81,1,1,1
15773809,620,0.0,2,1,0
15649423,580,0.0,2,0,1
15734886,686,123971.51,2,1,0
15722548,540,148116.48,1,0,0
15650288,634,116269.01,1,1,0
15629448,632,120599.21,1,1,0
15716164,501,144260.5,1,1,0
15807609,650,86605.5,3,1,0
15578977,786,0.0,2,1,0
15677369,554,58629.97,1,0,0
15804072,701,0.0,2,0,0
15696859,474,0.0,2,0,0
15653780,621,0.0,1,1,1
15721658,672,209767.31,2,1,1
15578761,459,129634.25,2,1,1
15736879,669,0.0,2,0,0
15571973,776,169824.46,1,1,0
15626742,694,97530.25,1,1,1
15672692,787,145988.65,2,1,1
15673570,580,0.0,2,0,1
15767432,711,0.0,3,1,1
15654238,673,137494.28,1,1,0
15612525,499,0.0,1,0,0
15812750,591,147360.0,1,1,1
15790757,769,0.0,2,0,0
15723873,657,125167.02,1,0,0
15744607,738,121152.05,2,1,0
15612966,545,128981.07,1,0,1
15784209,497,0.0,1,1,1
15794278,816,151858.98,1,1,1
15766741,525,114628.4,1,0,1
15661036,725,0.0,2,1,0
15705639,692,95059.02,2,1,0
15637414,618,128736.39,1,0,1
15716835,546,156325.38,1,1,1
15696231,635,105405.97,1,1,1
15641675,611,88915.37,3,0,0
15670755,650,0.0,2,1,1
15640059,606,0.0,2,1,1
15787619,844,160980.03,1,0,0
15587535,450,177619.71,1,1,0
15813034,727,62276.99,1,1,1
15698839,460,127559.97,2,1,1
15790314,649,0.0,2,0,1
15634245,758,95523.16,1,1,0
15677305,490,107749.03,1,1,1
15661526,815,110777.26,2,1,0
15685997,838,166733.92,2,1,0
15660101,803,157120.86,2,1,0
15637979,664,127160.78,2,1,0
15815364,736,0.0,2,1,1
15647099,633,156091.97,1,1,0
15625944,664,98668.18,1,1,1
15583212,600,134022.06,1,1,0
15582741,693,124151.09,1,1,0
15637876,663,77253.5,1,0,0
15622750,742,114292.48,1,1,0
15672056,710,140080.32,3,1,1
15812351,710,135277.96,1,1,0
15810864,700,0.0,2,0,1
15677921,720,115920.62,2,0,0
15724296,684,119782.72,2,0,0
15685329,531,114715.71,1,0,1
15584091,742,129748.54,2,0,0
15640442,717,129722.57,1,0,0
15639314,589,0.0,2,0,1
15685320,767,139180.2,1,0,0
15789158,636,113599.74,2,1,0
15752137,648,134944.0,1,1,1
15712551,622,116922.25,1,1,0
15628936,692,118945.09,1,0,0
15797227,754,0.0,2,1,1
15769974,679,119182.73,1,0,0
15737051,639,0.0,2,1,0
15585595,774,71264.02,2,0,1
15654060,517,0.0,2,0,1
15745196,571,0.0,2,0,0
15571221,747,116313.57,1,1,1
15660155,792,92140.15,1,0,1
15605284,688,0.0,2,1,1
15694366,714,177640.09,1,0,1
15600739,562,0.0,2,1,0
15653253,704,167997.6,1,1,1
15763431,698,82275.35,2,1,1
15643696,611,0.0,2,1,1
15707473,850,111962.99,1,1,0
15769504,743,131736.88,1,1,1
15776807,654,0.0,1,1,0
15686870,761,108239.11,2,0,0
15668747,702,98444.19,1,0,1
15766908,488,114540.38,1,1,0
15570134,683,187530.66,2,1,1
15567367,601,133636.16,1,0,1
15747542,605,0.0,2,1,1
15762238,671,84745.03,2,0,1
15681554,614,120599.38,2,1,1
15712825,511,0.0,2,0,1
15640280,850,127771.35,2,0,1
15756026,790,0.0,1,0,0
15613319,793,0.0,1,0,0
15798906,628,0.0,2,1,1
15708917,598,167772.96,1,1,1
15778463,657,95845.6,1,1,0
15699430,618,0.0,2,1,0
15649992,681,134714.7,2,0,1
15578980,516,0.0,2,1,1
15775306,421,122384.22,3,1,1
15641655,700,0.0,2,0,0
15619708,745,157993.15,2,1,0
15734565,696,0.0,2,1,0
15806438,580,123331.36,1,0,0
15591969,497,75263.16,1,1,1
15747807,720,137824.03,2,1,0
15596939,659,132578.92,2,1,0
15716155,841,156021.31,1,0,0
15765311,642,0.0,1,1,0
15757811,732,137453.43,1,0,1
15603830,600,0.0,2,1,0
15660602,464,164284.72,2,1,1
15660535,680,0.0,2,1,1
15666633,758,0.0,2,1,1
15596914,630,112373.49,2,1,1
15639788,577,0.0,2,1,0
15695846,684,0.0,2,1,1
15726234,708,0.0,1,0,1
15797964,732,154333.82,1,1,1
15625881,634,111432.77,2,1,1
15780628,633,0.0,2,0,0
15575883,559,137390.11,2,1,0
15585036,694,0.0,2,1,1
